name,family,outcome,proposal_call_seconds,check_seconds,certificate_bytes
ext-p6-t-3,secondary_homotopy,no_homotopy,0.00032521000002816436,6.41760000235081e-05,75
ext-p6-t-2,secondary_homotopy,no_homotopy,0.0003392510000139737,6.729100005031796e-05,75
ext-p6-t-1,secondary_homotopy,no_homotopy,0.0003500170000734215,6.669100002909545e-05,75
ext-p6-t0,secondary_homotopy,homotopy,0.00038027300001886033,6.265399997573695e-05,60
ext-p6-t1,secondary_homotopy,no_homotopy,0.0003636880001067766,6.720100009260932e-05,75
ext-p6-t2,secondary_homotopy,no_homotopy,0.0003298870001344767,6.532799989145133e-05,75
ext-p6-t3,secondary_homotopy,no_homotopy,0.00033528499989188276,6.546800000251096e-05,75
ext-p6-t4,secondary_homotopy,no_homotopy,0.00033892000010382617,8.632000003672147e-05,75
ext-p6-t5,secondary_homotopy,no_homotopy,0.0003477640000255633,6.641999993917125e-05,75
ext-p6-t6,secondary_homotopy,homotopy,0.0003696070000387408,6.133200008662243e-05,60
ext-p6-t7,secondary_homotopy,no_homotopy,0.00036019299977851915,6.596900016120344e-05,75
ext-p6-t8,secondary_homotopy,no_homotopy,0.00035597700002654165,6.706099998154968e-05,75
ext-p6-t9,secondary_homotopy,no_homotopy,0.00032328699990102905,6.45580000764312e-05,75
ext-p6-t10,secondary_homotopy,no_homotopy,0.0003344740000557067,6.579900014003215e-05,75
ext-p6-t11,secondary_homotopy,no_homotopy,0.0004080749999957334,7.100699986040127e-05,75
ext-p6-t12,secondary_homotopy,homotopy,0.0003620449999743869,6.214400013959676e-05,60
ext-p7-t-14,secondary_homotopy,homotopy,0.00038429899996117456,6.674999985989416e-05,61
ext-p7-t-13,secondary_homotopy,no_homotopy,0.00034535000008872885,6.983499997659237e-05,75
ext-p7-t-12,secondary_homotopy,no_homotopy,0.00034490899997763336,6.7933000082121e-05,75
ext-p7-t-11,secondary_homotopy,no_homotopy,0.00036832499995398393,6.791300006625534e-05,75
ext-p7-t-10,secondary_homotopy,no_homotopy,0.0003369779999502498,6.802200005040504e-05,75
ext-p7-t-9,secondary_homotopy,no_homotopy,0.00035199099988858507,6.60990001506434e-05,75
ext-p7-t-8,secondary_homotopy,no_homotopy,0.0003295460001027095,6.704099996568402e-05,75
ext-p7-t-7,secondary_homotopy,homotopy,0.00035326199986229767,8.734100015317381e-05,61
ext-p7-t-6,secondary_homotopy,no_homotopy,0.0003356949998760683,6.745200016666786e-05,75
ext-p7-t-5,secondary_homotopy,no_homotopy,0.0003427760000249691,6.610999980694032e-05,75
ext-p7-t-4,secondary_homotopy,no_homotopy,0.00035769900000559574,6.887299991831242e-05,75
ext-p7-t-3,secondary_homotopy,no_homotopy,0.00033385200003976934,6.425700007639534e-05,75
