case,family,mode,expected,status,accepted,reason,check_seconds,kind,arithmetic_operations,basis_dimensions,elapsed_seconds,generators,grid_evaluations,groebner_calls,max_generated_degree,membership_queries,pullbacks,process_seconds,value,length
simultaneous_swap,boundary controls,linear,proved,proved,True,,0.0002668000000767279,closure-certificate,39,[1],0.0069866659999888725,1,0,0,1,4,1,1.3657272779998948,,
simultaneous_swap,boundary controls,ideal,proved,proved,True,,0.00029706500004067493,closure-certificate,39,[1],0.009431309999968107,1,0,1,1,4,1,2.171942213999955,,
two_fresh_inputs,boundary controls,linear,proved,proved,True,,0.00024561800000810763,closure-certificate,40,[1],0.01029064199997265,1,0,0,2,4,1,1.5467303169999695,,
two_fresh_inputs,boundary controls,ideal,proved,proved,True,,0.00016540799992981192,closure-certificate,40,[1],0.005869018999987929,1,0,1,2,4,1,1.3868662539999832,,
unreachable_observation,boundary controls,linear,proved,proved,True,,5.543299994315021e-05,closure-certificate,2,"[0, 1]",0.00121817399997326,1,0,0,0,2,0,1.1826507849999643,,
unreachable_observation,boundary controls,ideal,proved,proved,True,,6.990400004269759e-05,closure-certificate,2,"[0, 1]",0.001623591999987184,1,0,1,0,2,0,1.2817508849999513,,
rational_scaling,boundary controls,linear,proved,proved,True,,0.0002960730000722833,closure-certificate,40,[1],0.00713004900001124,1,0,0,2,4,1,2.1127284660000214,,
rational_scaling,boundary controls,ideal,proved,proved,True,,0.00024843200003488164,closure-certificate,40,[1],0.024008506999962265,1,0,1,2,4,1,1.286942262000025,,
multiple_targets,boundary controls,linear,proved,proved,True,,0.00025495199997749296,closure-certificate,52,[2],0.012433981999947719,2,0,0,1,8,2,1.189982382999915,,
multiple_targets,boundary controls,ideal,proved,proved,True,,0.0002329889999828083,closure-certificate,56,[2],0.0088644249999561,2,0,2,1,8,2,1.1788428350000686,,
ordered_trace,boundary controls,linear,refuted,refuted,True,,0.00013703499996609025,counterexample,10,,0.0023907910000389165,3,0,0,1,3,2,1.0681005060000643,"['1', '1']",2
ordered_trace,boundary controls,ideal,refuted,refuted,True,,0.00012735100006011635,counterexample,10,,0.0025149760000431343,3,0,0,1,3,2,1.3415080309999894,"['1', '1']",2
